sensorid,name,serial,model,location,sublocation,latitude,longitude,deploy_date,depth_height,lcz,class,mount,rmsid,region,status,new_sensorid
9,TRH_DL_3,20506820,MX2302,Fee Ln,"(0, 0)",39.172778,-86.519167,2018-12-04,6,compact midrise,temperature,pole_mount,,iucampus,ACTIVE,
12,TRH_DL_6,20506825,MX2302,Wells Library Parking Lot,"(0, 0)",39.169444,-86.516389,2018-12-04,6,bare rock or paved,temperature,pole_mount,,iucampus,ACTIVE,
18,TRH_DL_13,21522232,MX2302A,Woodlawn,"(0,0)",39.17083,-86.520278,2018-12-04,6,low plants,,,,iucampus,ACTIVE,
16,TRH_DL_11,20417568,MX2302,Campus River,"(0,0)",39.1675,-86.518056,2018-12-04,6,dense trees,,,,iucampus,ACTIVE,
22,TRH_DL_16,20843381,MX2302A,Myles Brand Parking Lot,"(0,0)",39.172362,-86.522718,2023-07-12,6,bare rock or paved,temperature,pole-mount,,iucampus,ACTIVE,
10,TRH_DL_4,20506821,MX2302,Woodlawn Field,"(0, 0)",39.170833,-86.520278,2018-12-04,6,low plants,temperature,pole_mount,,iucampus,INACTIVE,
11,TRH_DL_5,20506824,MX2302,Jordan River Auditorium,"(0, 0)",39.1675,-86.518056,2018-12-04,6,dense trees,temperature,tree-mount,,iucampus,INACTIVE,
13,TRH_DL_7,20506823,MX2302,Biology Building,"(0, 0)",39.165278,-86.520556,2018-12-04,6,compact midrise,temperature,pole_mount,,iucampus,ACTIVE,
1,SM_RMS_2,20422249,S-SMD,Willie Streeter Community Garden,"(1.33, 2.50)",39.142526,-86.516696,2018-07-10,-0.5,low plants,soil,grounded,1,bloomington,INACTIVE,
2,SM_RMS_1,20422246,S-SMD,Willie Streeter Community Garden,"(1.33, -2.50)",39.142526,-86.516696,2018-07-10,-0.5,low plants,soil,grounded,1,bloomington,INACTIVE,
3,TRH_RMS_1,20411954,S-THB,Willie Streeter Community Garden,"(0, 0)",39.142526,-86.516696,2018-07-10,6,low plants,temperature,wood_mount,1,bloomington,INACTIVE,
4,SM_RMS_4,20422248,S-SMD,Bloomington Community Orchard,"(1.33, 2.50)",39.140937,-86.515911,2018-07-12,-0.83,low plants,soil,grounded,2,bloomington,INACTIVE,
5,SM_RMS_3,20422247,S-SMD,Bloomington Community Orchard,"(1.33, 2.50)",39.140937,-86.515911,2018-07-12,-0.5,low plants,soil,grounded,2,bloomington,INACTIVE,
6,TRH_RMS_2,20411955,S-THB,Bloomington Community Orchard,"(0, 0)",39.140937,-86.515911,2018-07-12,6,low plants,temperature,wood_mount,2,bloomington,INACTIVE,
14,TRH_DL_8,20506822,MX2302,Dunn Meadow,"(0, 0)",39.1675,-86.525556,2018-12-05,6,low plants,temperature,tree-mount,,iucampus,INACTIVE,
8,TRH_DL_2,20417567,MX2302,Dunn Woods,"(0, 0)",39.165556,-86.524167,2018-08-22,6,dense trees,temperature,tree-mount,,iucampus,REPLACED,17
15,TRH_DL_09,20853700,MX2302A,Dunn Woods,"(0, 0)",39.165556,-86.524167,2020-07-01,6,dense trees,temperature,tree-mount,,iucampus,REPLACED,17
20,TRH_DL_10,20843379,20843379,Dunn Woods,"(0,0)",39.165556,-86.524167,2021-07-19,6,dense trees,temperature,tree-mount,,iucampus,REPLACED,17
17,TRH_DL_12,21471927,MX2302A,Dunn Woods,"(0,0)",39.165556,-86.524167,2022-09-06,6,dense trees,,,,iucampus,REPLACED,21
21,TRH_DL_15,21760630,MX2302A,Dunn Woods,"(0,0)",39.165556,-86.524167,2023-06-15,6,dense trees,temperature,tree-mount,,iucampus,ACTIVE,
23,TRH_DL_17,20843382,MX2302A,Merrill Hall,"(0,0)",39.164919,-86.518686,2023-09-05,6,Open Midrise,temperature,pole_mount,,iu_campus,ACTIVE,
24,TRH_RF_1,21871014,RXW-THC-900,Cravens Hall Bus Stop,"(0,0)",39.171591,-86.523845,2023-10-23,6,Open Midrise,temperature,pole_mount,,iu_campus,ACTIVE,
25,TRH_RF_2,21869995,RXW-THC-900,Hodge Hall Bus Stop,"(0,0)",39.171696,-86.51814,2023-11-10,6,Open Midrise,temperature,pole_mount,,iu_campus,ACTIVE,
19,TRH_DL_14,21522234,MX2302A,Dunn Meadow,"(0,0)",39.1675,-86.525556,2018-12-04,6,low plants,,,,iucampus,INACTIVE,
26,TRH_RF_4,21871015,RXW-THC-900,Opposite Teter Quad,"(0,0)",39.171991,-86.513053,2023-11-17,6,Open Midrise,temperature,pole_mount,,iu_campus,INACTIVE,
7,TRH_DL_1,20417568,MX2302,Luddy Hall Parking Lot,"(0, 0)",39.172796,-86.52175,2018-07-18,6,bare rock or paved,temperature,pole_mount,,iucampus,MOVED,16
